"cne","filiere","niveau","nbrAbsences","nbrRapportsMauvaiseConduite","nbrRapportsTriche"
"1694","Civil","1","4","2","2"
"1695","Info","1","4","1","0"
"1696","Electrique","1","3","0","2"
"1697","Electrique","3","3","3","1"
"1698","Indus","3","5","3","2"
"1699","Finance","2","1","1","2"
"1700","Civil","2","4","0","1"
"1701","Finance","2","4","1","1"
"1702","Finance","3","2","3","1"
"1703","Civil","3","5","0","1"
"1704","Civil","2","0","2","1"
"1705","Info","2","2","0","2"
"1706","Info","2","0","3","1"
"1707","Electrique","3","2","0","2"
"1708","Info","3","4","3","0"
"1709","Finance","1","0","0","0"
"1710","Indus","3","4","0","0"
"1711","Indus","2","2","2","0"
"1712","Civil","2","1","3","1"
"1713","Electrique","2","1","1","1"
"1714","Civil","2","4","2","1"
"1715","Civil","3","2","0","2"
"1716","Indus","2","5","0","0"
"1717","Electrique","1","4","1","2"
"1718","Electrique","3","0","1","1"
"1719","Indus","1","0","3","1"
"1720","Indus","1","0","1","1"
"1721","Indus","1","2","2","1"
"1722","Finance","2","1","0","2"
"1723","Electrique","2","2","1","2"
"1724","Indus","2","5","1","2"
"1725","Civil","2","0","1","1"
"1726","Electrique","2","4","2","1"
"1727","Indus","3","1","2","1"
"1728","Finance","1","1","0","0"
"1729","Civil","3","3","3","0"
"1730","Civil","2","0","2","2"
"1731","Electrique","3","0","3","0"
"1732","Electrique","1","3","0","1"
"1733","Finance","2","5","1","2"
"1734","Finance","3","4","1","1"
"1735","Finance","1","2","0","0"
"1736","Civil","1","4","0","1"
"1737","Info","1","3","0","0"
"1738","Civil","3","3","2","2"
"1739","Electrique","2","4","3","2"
"1740","Electrique","2","4","1","1"
"1741","Info","1","5","3","1"
"1742","Civil","3","2","3","0"
"1743","Civil","3","4","1","2"
"1744","Indus","1","0","1","1"
"1745","Civil","2","5","2","0"
"1746","Electrique","1","2","2","1"
"1747","Electrique","1","1","0","2"
"1748","Electrique","3","5","0","2"
"1749","Electrique","3","5","3","2"
"1750","Finance","3","1","3","2"
"1751","Finance","1","4","1","2"
"1752","Indus","1","0","1","0"
"1753","Finance","3","2","0","2"
"1754","Electrique","1","1","0","2"
"1755","Info","3","4","1","0"
"1756","Civil","1","2","2","2"
"1757","Info","1","0","0","2"
"1758","Civil","3","3","0","1"
"1759","Civil","1","0","1","0"
"1760","Info","3","3","3","0"
"1761","Info","2","1","2","0"
"1762","Info","2","0","3","0"
"1763","Finance","3","4","1","1"
"1764","Electrique","2","0","3","0"
"1765","Civil","1","5","1","1"
"1766","Info","2","2","0","2"
"1767","Finance","3","5","2","2"
"1768","Info","1","2","0","0"
"1769","Civil","1","2","3","0"
"1770","Civil","1","4","3","2"
"1771","Electrique","3","2","3","1"
"1772","Finance","2","3","2","0"
"1773","Civil","1","0","1","0"
"1774","Electrique","1","1","3","0"
"1775","Finance","2","4","0","2"
"1776","Civil","2","3","1","2"
"1777","Finance","2","3","1","2"
"1778","Info","3","4","3","1"
"1779","Indus","3","5","3","1"
"1780","Finance","2","3","0","1"
"1781","Info","3","1","2","2"
"1782","Indus","2","1","0","1"
"1783","Finance","2","4","0","1"
"1784","Finance","1","0","0","0"
"1785","Indus","2","4","2","0"
"1786","Civil","1","2","1","0"
"1787","Civil","2","4","3","1"
"1788","Finance","1","3","1","2"
"1789","Electrique","3","5","2","0"
"1790","Info","1","4","1","2"
"1791","Info","1","5","2","2"
"1792","Civil","1","5","2","0"
"1793","Indus","3","2","3","1"
"1794","Finance","1","2","0","1"
"1795","Finance","2","5","2","1"
"1796","Civil","3","4","1","2"
"1797","Civil","1","1","0","1"
"1798","Indus","2","5","1","1"
"1799","Electrique","1","0","1","2"
"1800","Civil","1","5","1","0"
"1801","Info","3","1","0","1"
"1802","Civil","2","2","2","2"
"1803","Electrique","1","1","1","0"
"1804","Info","2","2","3","2"
"1805","Indus","2","0","1","1"
"1806","Finance","1","4","2","2"
"1807","Civil","1","2","2","2"
"1808","Indus","3","0","3","1"
"1809","Info","2","1","0","1"
"1810","Finance","3","4","1","0"
"1811","Finance","2","2","3","2"
"1812","Electrique","1","3","1","0"
"1813","Info","2","5","0","2"
"1814","Finance","1","2","0","1"
"1815","Indus","2","3","2","1"
"1816","Indus","1","0","2","2"
"1817","Info","2","3","3","0"
"1818","Civil","3","1","1","2"
"1819","Finance","3","2","3","2"
"1820","Finance","2","5","3","1"
"1821","Finance","3","0","3","1"
"1822","Civil","1","3","3","2"
"1823","Finance","1","3","3","1"
"1824","Electrique","1","5","1","2"
"1825","Finance","3","5","1","1"
"1826","Indus","2","0","0","1"
"1827","Electrique","1","2","1","0"
"1828","Indus","1","1","3","0"
"1829","Indus","1","2","1","1"
"1830","Info","1","1","0","0"
"1831","Finance","1","4","2","1"
"1832","Finance","3","0","3","0"
"1833","Electrique","3","0","1","0"
"1834","Indus","3","3","0","2"
"1835","Finance","2","2","1","0"
"1836","Finance","3","5","2","2"
"1837","Civil","2","0","2","1"
"1838","Indus","3","4","3","0"
"1839","Indus","1","2","2","0"
"1840","Electrique","3","5","2","0"
"1841","Info","1","5","3","0"
"1842","Indus","2","2","1","2"
"1843","Civil","1","4","2","2"
"1844","Civil","1","5","0","1"
"1845","Electrique","1","0","1","0"
"1846","Info","3","2","3","1"
"1847","Indus","1","0","1","1"
"1848","Civil","2","3","0","0"
"1849","Info","2","3","0","1"
"1850","Indus","2","5","0","2"
"1851","Electrique","1","4","2","2"
"1852","Electrique","2","1","0","0"
"1853","Finance","2","2","2","2"
"1854","Info","2","5","3","0"
"1855","Indus","3","1","0","1"
"1856","Electrique","3","5","3","1"
"1857","Electrique","1","5","2","1"
"1858","Finance","2","0","3","1"
"1859","Info","1","1","0","0"
"1860","Electrique","1","0","0","0"
"1861","Civil","3","5","1","2"
"1862","Info","3","4","2","2"
"1863","Indus","3","4","0","2"
"1864","Indus","3","4","3","0"
"1865","Indus","2","0","3","2"
"1866","Civil","2","3","2","2"
"1867","Finance","2","4","1","0"
"1868","Finance","1","2","2","0"
"1869","Civil","1","4","0","1"
"1870","Finance","3","0","0","0"
"1871","Electrique","3","2","3","0"
"1872","Civil","1","5","3","2"
"1873","Civil","3","4","3","0"
"1874","Info","3","2","2","1"
"1875","Civil","1","5","3","1"
"1876","Finance","2","5","2","1"
"1877","Indus","3","3","2","0"
"1878","Electrique","1","5","1","1"
"1879","Finance","2","0","3","2"
"1880","Info","3","2","1","0"
"1881","Civil","3","2","0","1"
"1882","Indus","1","3","1","2"
"1883","Indus","1","3","2","2"
"1884","Electrique","2","4","2","2"
"1885","Indus","1","4","2","0"
"1886","Electrique","1","5","2","2"
"1887","Info","1","1","2","1"
"1888","Electrique","1","3","3","1"
"1889","Civil","2","3","0","2"
"1890","Electrique","3","2","2","2"
"1891","Indus","3","1","1","0"
"1892","Finance","2","4","1","2"
"1893","Indus","3","3","3","2"
"1894","Finance","2","5","1","1"
"1895","Electrique","3","0","0","1"
"1896","Indus","1","3","2","1"
"1897","Civil","1","1","0","0"
"1898","Indus","2","3","1","1"
"1899","Electrique","1","2","2","1"
"1900","Indus","3","5","2","2"
"1901","Info","3","5","3","1"
"1902","Civil","2","2","3","0"
"1903","Indus","1","0","3","2"
"1904","Finance","1","2","1","1"
"1905","Electrique","1","1","2","0"
"1906","Info","1","0","2","1"
"1907","Finance","2","1","2","0"
"1908","Indus","1","4","3","1"
"1909","Electrique","2","5","1","1"
"1910","Electrique","3","0","2","1"
"1911","Civil","1","0","2","0"
"1912","Info","1","4","2","0"
"1913","Civil","1","0","2","1"
"1914","Electrique","2","3","0","2"
"1915","Info","3","1","3","2"
"1916","Electrique","1","1","3","1"
"1917","Indus","1","3","2","1"
"1918","Finance","1","4","1","0"
"1919","Info","2","1","0","1"
"1920","Finance","3","1","2","2"
"1921","Indus","1","4","0","1"
"1922","Civil","1","3","0","0"
"1923","Civil","1","0","2","1"
"1924","Indus","3","2","2","1"
"1925","Civil","2","1","1","1"
"1926","Civil","1","2","0","0"
"1927","Indus","1","1","0","2"
"1928","Indus","3","2","3","2"
"1929","Finance","1","5","3","1"
"1930","Electrique","3","2","0","0"
"1931","Finance","2","2","3","0"
"1932","Finance","3","2","3","2"
"1933","Electrique","1","2","1","0"
"1934","Indus","1","1","2","2"
"1935","Finance","2","5","0","0"
"1936","Info","1","2","2","2"
"1937","Finance","3","3","2","2"
"1938","Civil","3","3","2","2"
"1939","Civil","2","0","3","1"
"1940","Indus","3","4","0","1"
"1941","Info","1","1","0","1"
"1942","Electrique","1","1","2","2"
"1943","Info","3","4","2","1"
"1944","Indus","1","3","1","1"
"1945","Civil","2","2","2","2"
"1946","Info","3","4","3","0"
"1947","Civil","3","3","3","0"
"1948","Indus","2","3","3","1"
"1949","Finance","2","5","2","1"
"1950","Finance","2","5","1","0"
"1951","Info","1","5","0","1"
"1952","Electrique","2","3","3","1"
"1953","Civil","3","0","1","1"
"1954","Civil","3","2","3","0"
"1955","Civil","2","1","3","2"
"1956","Indus","2","1","2","1"
"1957","Info","3","2","3","2"
"1958","Civil","1","5","3","0"
"1959","Indus","2","5","1","2"
"1960","Info","1","3","2","1"
"1961","Electrique","1","2","0","1"
"1962","Info","1","1","2","2"
"1963","Info","1","3","0","0"
"1964","Electrique","1","4","2","2"
"1965","Finance","2","0","3","1"
"1966","Electrique","1","5","0","1"
"1967","Info","1","3","3","2"
"1968","Info","2","4","1","0"
"1969","Electrique","3","5","0","0"
"1970","Finance","2","4","3","1"
"1971","Electrique","1","3","2","0"
"1972","Info","1","4","3","0"
"1973","Electrique","1","5","0","1"
"1974","Electrique","3","2","0","1"
"1975","Indus","2","5","2","0"
"1976","Finance","1","1","0","2"
"1977","Finance","1","3","1","1"
"1978","Info","2","3","2","0"
"1979","Finance","1","5","2","1"
"1980","Electrique","1","0","1","1"
"1981","Finance","2","1","3","1"
"1982","Electrique","2","3","0","0"
"1983","Electrique","3","1","1","0"
"1984","Indus","1","5","2","0"
"1985","Electrique","3","4","3","1"
"1986","Civil","1","4","0","1"
"1987","Info","3","0","2","1"
"1988","Finance","1","2","0","2"
"1989","Info","3","3","0","0"
"1990","Electrique","2","2","2","1"
"1991","Electrique","2","4","2","2"
"1992","Info","2","5","3","1"
"1993","Indus","3","3","0","1"
"1994","Civil","2","2","1","0"
"1995","Finance","3","3","2","2"
"1996","Finance","3","2","1","1"
"1997","Indus","3","5","3","2"
"1998","Civil","1","1","0","2"
"1999","Electrique","2","3","3","0"
"2000","Info","2","5","2","1"
"2001","Info","1","1","3","1"
"2002","Indus","3","2","0","2"
"2003","Electrique","3","3","0","1"
"2004","Finance","2","4","1","2"
"2005","Indus","2","5","2","2"
"2006","Info","1","2","3","0"
"2007","Finance","1","0","0","2"
"2008","Civil","3","1","1","0"
"2009","Civil","3","5","2","1"
"2010","Civil","2","5","3","2"
"2011","Info","3","0","3","2"
"2012","Indus","3","1","0","2"
"2013","Finance","2","5","3","2"
"2014","Electrique","3","3","3","0"
"2015","Info","3","0","1","0"
"2016","Civil","2","1","1","0"
"2017","Electrique","1","3","0","2"
"2018","Indus","1","1","3","0"
"2019","Finance","2","4","2","1"
"2020","Electrique","1","4","3","2"
"2021","Finance","1","3","3","0"
"2022","Finance","2","5","3","1"
"2023","Civil","3","0","1","1"
"2024","Electrique","3","5","2","2"
"2025","Civil","1","5","2","0"
"2026","Info","3","5","0","0"
"2027","Electrique","3","5","1","0"
"2028","Info","1","0","1","0"
"2029","Info","1","3","1","2"
"2030","Indus","1","2","1","0"
"2031","Indus","2","2","2","2"
"2032","Info","1","1","1","0"
"2033","Finance","2","1","0","2"
"2034","Finance","1","1","0","0"
"2035","Civil","3","3","1","2"
"2036","Electrique","3","4","0","2"
"2037","Indus","3","3","1","2"
"2038","Electrique","1","3","1","1"
"2039","Indus","3","3","0","0"
"2040","Indus","2","4","1","1"
"2041","Info","1","5","0","0"
"2042","Finance","3","2","0","1"
"2043","Info","2","3","2","0"
"2044","Civil","1","1","2","0"
"2045","Electrique","3","3","1","0"
"2046","Finance","2","5","3","2"
"2047","Electrique","2","1","3","1"
"2048","Finance","2","1","2","2"
"2049","Indus","1","5","2","2"
"2050","Finance","3","0","0","1"
"2051","Info","1","4","1","1"
"2052","Finance","3","5","2","0"
"2053","Finance","3","0","2","2"
"2054","Civil","1","5","3","0"
"2055","Electrique","2","1","3","2"
"2056","Civil","2","3","0","0"
"2057","Info","1","1","1","0"
"2058","Indus","3","5","2","2"
"2059","Electrique","3","5","1","2"
"2060","Info","2","5","2","2"
"2061","Info","3","3","2","0"
"2062","Finance","3","1","1","2"
"2063","Civil","2","3","3","1"
"2064","Indus","1","4","2","2"
"2065","Indus","3","3","0","0"
"2066","Electrique","2","3","2","1"
"2067","Civil","2","0","3","1"
"2068","Info","2","3","1","2"
"2069","Info","1","5","3","0"
"2070","Electrique","2","2","1","0"
"2071","Finance","3","4","2","0"
"2072","Civil","3","0","1","1"
"2073","Electrique","3","3","1","0"
"2074","Info","1","4","2","0"
"2075","Indus","1","0","0","0"
"2076","Civil","1","1","2","0"
"2077","Finance","2","1","0","0"
"2078","Indus","1","1","1","1"
"2079","Finance","3","4","0","1"
"2080","Electrique","3","3","3","0"
"2081","Indus","3","5","3","2"
"2082","Finance","2","2","1","2"
"2083","Info","3","0","0","0"
"2084","Civil","1","0","1","2"
"2085","Indus","1","3","1","0"
"2086","Indus","3","4","2","1"
"2087","Electrique","2","4","2","0"
"2088","Indus","1","2","0","2"
"2089","Civil","2","0","3","2"
"2090","Civil","1","0","0","0"
"2091","Finance","2","5","0","1"
"2092","Finance","3","3","3","1"
"2093","Indus","3","1","2","1"
"2094","Finance","3","0","2","0"
"2095","Indus","1","0","0","1"
"2096","Civil","1","2","0","0"
"2097","Indus","3","0","1","0"
"2098","Civil","1","2","2","0"
"2099","Indus","3","4","0","2"
"2100","Info","2","2","2","2"
"2101","Indus","3","0","1","2"
"2102","Electrique","2","3","2","2"
"2103","Info","3","3","0","2"
"2104","Civil","1","3","0","1"
"2105","Indus","3","1","1","1"
"2106","Info","3","0","3","2"
"2107","Electrique","3","4","1","1"
"2108","Info","1","1","2","0"
"2109","Indus","3","5","1","0"
"2110","Civil","3","0","2","0"
"2111","Info","1","3","0","1"
"2112","Info","2","0","0","1"
"2113","Info","1","1","1","1"
"2114","Info","2","2","1","2"
"2115","Civil","1","5","0","0"
"2116","Civil","1","2","2","2"
"2117","Info","1","5","1","1"
"2118","Indus","1","5","0","2"
"2119","Indus","3","4","0","1"
"2120","Finance","3","4","1","2"
"2121","Electrique","1","1","3","1"
"2122","Electrique","1","5","1","1"
"2123","Finance","3","2","2","0"
"2124","Indus","1","0","3","1"
"2125","Electrique","2","1","0","0"
"2126","Civil","1","5","2","1"
"2127","Electrique","1","4","1","0"
"2128","Info","1","1","2","2"
"2129","Info","1","5","3","0"
"2130","Info","1","0","2","2"
"2131","Civil","1","3","1","1"
"2132","Finance","1","1","2","0"
"2133","Indus","3","4","2","1"
"2134","Indus","3","4","3","0"
"2135","Electrique","1","1","0","1"
"2136","Civil","2","2","3","1"
"2137","Info","1","2","2","1"
"2138","Civil","3","5","3","1"
"2139","Civil","2","0","0","1"
"2140","Electrique","3","2","0","0"
"2141","Civil","3","1","0","0"
"2142","Electrique","1","2","3","0"
"2143","Indus","3","4","1","2"
"2144","Info","2","5","3","0"
"2145","Electrique","1","5","2","0"
"2146","Finance","2","4","1","2"
"2147","Civil","1","4","1","0"
"2148","Indus","2","3","1","2"
"2149","Civil","3","3","1","1"
"2150","Finance","1","4","1","0"
"2151","Indus","3","1","0","0"
"2152","Civil","1","2","2","2"
"2153","Electrique","2","4","3","1"
"2154","Indus","3","5","3","1"
"2155","Finance","3","2","3","0"
"2156","Indus","3","3","3","0"
"2157","Electrique","2","2","3","0"
"2158","Electrique","2","5","2","0"
"2159","Info","1","3","2","1"
"2160","Finance","3","2","3","0"
"2161","Electrique","3","4","2","1"
"2162","Info","1","2","3","0"
"2163","Civil","1","4","1","1"
"2164","Info","1","0","3","0"
"2165","Info","1","3","3","1"
"2166","Civil","3","0","0","1"
"2167","Indus","2","3","1","1"
"2168","Civil","2","3","2","0"
"2169","Info","3","0","2","1"
"2170","Info","3","0","3","2"
"2171","Finance","1","0","3","2"
"2172","Electrique","3","0","1","1"
"2173","Electrique","3","4","1","0"
"2174","Electrique","3","3","2","0"
"2175","Electrique","1","2","1","1"
"2176","Electrique","1","5","1","1"
"2177","Info","3","5","3","0"
"2178","Info","1","5","3","0"
"2179","Indus","3","2","0","1"
"2180","Indus","3","3","1","2"
"2181","Indus","2","5","2","2"
"2182","Indus","1","2","1","1"
"2183","Indus","3","4","0","2"
"2184","Indus","1","5","3","2"
"2185","Finance","3","2","1","1"
"2186","Electrique","1","5","3","2"
"2187","Finance","3","0","1","0"
"2188","Indus","2","3","1","2"
"2189","Info","2","3","1","1"
"2190","Finance","2","1","0","1"
"2191","Finance","2","0","3","1"
"2192","Info","1","0","0","1"
"2193","Civil","2","1","2","2"
"2194","Info","1","2","3","2"
"2195","Info","2","0","0","0"
"2196","Indus","1","3","2","0"
"2197","Info","2","3","2","0"
"2198","Electrique","1","4","1","1"
"2199","Indus","1","1","2","0"
"2200","Civil","3","0","1","0"
"2201","Finance","1","2","1","1"
"2202","Indus","2","0","3","2"
"2203","Civil","1","1","2","1"
"2204","Indus","1","3","3","1"
"2205","Civil","2","0","2","2"
"2206","Indus","3","4","1","1"
"2207","Civil","2","5","1","0"
"2208","Indus","3","1","1","0"
"2209","Indus","2","1","2","2"
"2210","Electrique","2","5","2","1"
"2211","Info","3","4","1","1"
"2212","Info","3","1","2","0"
"2213","Electrique","1","3","0","2"
"2214","Finance","3","3","2","2"
"2215","Civil","1","4","0","0"
"2216","Info","3","2","1","0"
"2217","Finance","3","0","1","1"
"2218","Civil","2","1","1","0"
"2219","Info","1","3","0","2"
"2220","Electrique","1","1","3","1"
"2221","Info","1","5","2","0"
"2222","Finance","1","5","0","1"
"2223","Finance","1","3","3","1"
"2224","Civil","2","0","0","0"
"2225","Finance","2","1","1","0"
"2226","Finance","2","3","0","1"
"2227","Electrique","2","5","1","0"
"2228","Indus","2","1","0","1"
"2229","Indus","2","3","0","0"
"2230","Electrique","3","2","2","0"
"2231","Electrique","1","0","0","2"
"2232","Info","3","5","1","0"
"2233","Electrique","3","2","1","2"
"2234","Finance","1","2","2","1"
"2235","Indus","2","0","3","0"
"2236","Indus","1","0","1","0"
"2237","Civil","3","2","3","0"
"2238","Indus","2","5","2","1"
"2239","Finance","2","4","3","0"
"2240","Electrique","1","0","1","0"
"2241","Civil","2","5","3","0"
"2242","Info","2","0","3","2"
"2243","Indus","1","4","0","0"
"2244","Indus","3","4","0","2"
"2245","Finance","3","0","0","1"
"2246","Civil","3","4","1","2"
"2247","Finance","3","3","2","2"
"2248","Info","1","3","3","0"
"2249","Indus","2","3","3","2"
"2250","Finance","2","3","1","1"
"2251","Electrique","2","3","0","2"
"2252","Finance","1","1","2","1"
"2253","Finance","1","3","3","1"
"2254","Info","1","2","1","1"
"2255","Info","1","1","1","0"
"2256","Electrique","3","0","0","2"
"2257","Finance","1","1","0","2"
"2258","Electrique","3","4","1","2"
"2259","Indus","3","3","1","0"
"2260","Electrique","3","4","1","1"
"2261","Info","1","1","1","1"
"2262","Finance","3","4","0","2"
"2263","Info","2","2","3","0"
"2264","Electrique","2","4","1","2"
"2265","Indus","2","0","0","2"
"2266","Civil","3","1","2","0"
"2267","Info","2","0","1","0"
"2268","Indus","3","0","2","1"
"2269","Civil","2","2","0","0"
"2270","Civil","3","4","3","0"
"2271","Finance","2","5","1","2"
"2272","Info","1","0","1","2"
"2273","Indus","2","1","1","2"
"2274","Finance","3","4","2","0"
"2275","Electrique","3","3","0","1"
"2276","Indus","3","1","0","1"
"2277","Info","3","2","2","2"
"2278","Civil","3","5","1","1"
"2279","Info","2","3","3","2"
"2280","Indus","1","5","0","2"
"2281","Electrique","1","0","2","0"
"2282","Indus","2","4","0","0"
"2283","Electrique","2","4","0","2"
"2284","Finance","1","4","0","1"
"2285","Civil","3","2","0","2"
"2286","Info","3","0","2","1"
"2287","Indus","1","4","3","0"
"2288","Electrique","1","5","3","0"
"2289","Electrique","3","2","0","2"
"2290","Electrique","3","2","0","2"
"2291","Electrique","1","3","0","1"
"2292","Civil","3","1","1","0"
"2293","Civil","1","2","0","2"
"2294","Civil","1","0","1","0"
"2295","Electrique","3","3","3","2"
"2296","Info","2","5","1","2"
"2297","Info","1","0","3","2"
"2298","Info","3","3","3","0"
"2299","Info","3","5","2","1"
"2300","Finance","1","0","0","0"
"2301","Indus","3","5","2","1"
"2302","Finance","3","2","1","2"
"2303","Indus","2","0","3","0"
"2304","Indus","1","4","1","1"
"2305","Indus","3","1","1","0"
"2306","Civil","2","3","3","2"
"2307","Info","3","0","0","2"
"2308","Electrique","1","0","0","0"
"2309","Finance","2","5","2","2"
"2310","Electrique","2","5","0","2"
"2311","Finance","2","5","1","0"
"2312","Finance","2","3","2","2"
"2313","Civil","2","2","2","0"
"2314","Civil","1","1","1","2"
"2315","Electrique","2","2","2","0"
"2316","Finance","1","5","0","2"
"2317","Civil","2","4","2","0"
"2318","Indus","2","1","1","0"
"2319","Indus","3","4","0","0"
"2320","Indus","2","4","2","0"
"2321","Electrique","2","4","0","2"
"2322","Electrique","1","4","0","1"
"2323","Electrique","3","2","2","1"
"2324","Info","3","3","1","2"
"2325","Finance","3","2","0","0"
"2326","Finance","1","1","2","1"
"2327","Civil","2","5","2","0"
"2328","Info","2","4","2","1"
"2329","Electrique","1","1","0","0"
"2330","Civil","3","1","2","1"
"2331","Civil","3","0","0","0"
"2332","Indus","2","5","0","2"
"2333","Indus","2","1","1","2"
"2334","Electrique","3","3","0","2"
"2335","Info","3","2","3","2"
"2336","Electrique","3","5","1","0"
"2337","Civil","3","2","0","0"
"2338","Finance","3","4","0","0"
"2339","Civil","2","3","2","1"
"2340","Electrique","2","3","0","0"
"2341","Electrique","3","4","1","2"
"2342","Electrique","2","5","3","2"
"2343","Info","3","4","3","1"
"2344","Indus","1","2","2","0"
"2345","Finance","1","5","1","1"
"2346","Info","2","0","2","0"
"2347","Finance","3","3","2","0"
"2348","Indus","1","5","2","0"
"2349","Civil","3","4","2","1"
"2350","Finance","2","4","0","0"
"2351","Civil","1","2","3","0"
"2352","Finance","1","0","3","2"
"2353","Info","1","0","0","1"
"2354","Indus","3","4","0","2"
"2355","Electrique","2","4","1","2"
"2356","Info","1","1","1","2"
"2357","Info","3","1","3","0"
"2358","Civil","3","2","0","1"
"2359","Electrique","2","4","0","2"
"2360","Electrique","3","5","2","2"
"2361","Electrique","3","0","1","2"
"2362","Finance","2","1","2","2"
"2363","Electrique","2","1","3","1"
"2364","Civil","2","3","2","2"
"2365","Civil","3","5","0","1"
"2366","Finance","3","1","1","0"
"2367","Civil","2","4","2","2"
"2368","Info","2","1","0","2"
"2369","Electrique","3","1","1","1"
"2370","Civil","3","2","2","2"
"2371","Finance","1","3","2","2"
"2372","Civil","2","3","2","2"
"2373","Indus","3","4","1","1"
"2374","Info","2","3","1","0"
"2375","Civil","1","2","2","0"
"2376","Indus","2","3","1","0"
"2377","Indus","2","5","1","0"
"2378","Info","3","3","2","1"
"2379","Finance","3","1","1","0"
"2380","Info","1","3","3","1"
"2381","Electrique","3","0","3","0"
"2382","Info","1","1","3","1"
"2383","Finance","1","3","2","2"
"2384","Indus","2","4","3","2"
"2385","Indus","2","2","3","2"
"2386","Finance","2","4","3","0"
"2387","Civil","2","2","2","2"
"2388","Info","1","0","3","0"
"2389","Civil","2","1","2","1"
"2390","Civil","2","2","0","0"
"2391","Finance","1","5","1","0"
"2392","Finance","2","3","1","1"
"2393","Info","1","3","1","0"
"2394","Electrique","2","0","0","2"
"2395","Indus","3","3","2","1"
"2396","Finance","3","3","3","2"
"2397","Indus","1","1","0","0"
"2398","Electrique","2","2","2","1"
"2399","Civil","3","3","3","2"
"2400","Finance","3","2","3","1"
"2401","Electrique","3","3","1","0"
"2402","Finance","3","3","3","0"
"2403","Electrique","3","4","1","2"
"2404","Info","1","4","3","2"
"2405","Finance","2","2","0","0"
"2406","Indus","3","3","3","0"
"2407","Electrique","3","0","2","2"
"2408","Indus","1","5","3","0"
"2409","Electrique","1","5","1","2"
"2410","Finance","3","0","0","0"
"2411","Info","2","5","1","2"
"2412","Finance","3","1","3","0"
"2413","Info","1","0","2","2"
"2414","Info","3","1","3","1"
"2415","Electrique","2","4","0","2"
"2416","Info","1","3","1","2"
"2417","Civil","2","2","0","0"
"2418","Finance","3","3","3","0"
"2419","Info","3","0","3","1"
"2420","Civil","1","4","1","1"
"2421","Info","2","0","2","2"
"2422","Finance","3","1","0","0"
"2423","Civil","2","4","3","0"
"2424","Indus","1","1","0","0"
"2425","Electrique","1","1","3","0"
"2426","Info","1","1","1","2"
"2427","Finance","2","2","0","2"
"2428","Indus","3","1","0","0"
"2429","Finance","3","1","0","1"
"2430","Info","3","5","0","2"
"2431","Electrique","3","4","2","0"
"2432","Electrique","2","4","3","0"
"2433","Info","2","4","1","1"
"2434","Finance","3","5","3","1"
"2435","Info","3","5","3","2"
"2436","Indus","3","5","3","0"
"2437","Info","3","2","1","1"
"2438","Indus","2","5","2","0"
"2439","Finance","2","3","1","1"
"2440","Civil","2","3","3","2"
"2441","Electrique","3","4","3","2"
"2442","Info","1","0","1","2"
"2443","Finance","3","2","3","2"
"2444","Info","3","0","2","2"
"2445","Finance","2","0","1","2"
"2446","Electrique","1","0","3","2"
"2447","Indus","1","4","1","2"
"2448","Finance","3","5","1","2"
"2449","Electrique","2","1","3","2"
"2450","Indus","3","4","2","0"
"2451","Indus","3","1","2","1"
"2452","Civil","3","2","0","1"
"2453","Civil","3","4","0","1"
"2454","Info","1","5","1","2"
"2455","Info","2","5","0","2"
"2456","Finance","3","0","2","1"
"2457","Indus","2","1","1","0"
"2458","Finance","3","2","3","1"
"2459","Electrique","1","2","3","0"
"2460","Indus","2","3","3","0"
"2461","Electrique","1","2","2","2"
"2462","Civil","1","1","0","1"
"2463","Finance","1","5","3","2"
"2464","Civil","2","4","2","0"
"2465","Electrique","3","5","2","1"
"2466","Finance","1","0","2","2"
"2467","Electrique","1","3","1","1"
"2468","Indus","1","2","1","1"
"2469","Electrique","2","1","0","1"
"2470","Electrique","1","2","2","1"
"2471","Civil","2","2","1","0"
"2472","Civil","3","1","2","2"
"2473","Info","3","4","0","0"
"2474","Finance","2","2","2","1"
"2475","Civil","3","5","2","2"
"2476","Info","3","1","0","1"
"2477","Civil","3","2","2","0"
"2478","Indus","1","1","1","2"
"2479","Finance","2","2","1","2"
"2480","Civil","1","5","3","1"
"2481","Electrique","2","5","1","0"
"2482","Finance","2","0","1","0"
"2483","Info","1","1","2","0"
"2484","Electrique","3","1","1","2"
"2485","Civil","3","4","1","1"
"2486","Finance","1","3","0","1"
"2487","Electrique","2","1","3","2"
"2488","Indus","3","3","2","1"
"2489","Info","3","2","2","2"
"2490","Finance","3","0","0","0"
"2491","Info","2","1","1","0"
"2492","Electrique","2","2","1","2"
"2493","Electrique","1","1","0","0"
"2494","Civil","2","1","2","1"
"2495","Finance","2","2","3","0"
"2496","Indus","3","0","1","1"
"2497","Civil","1","3","0","1"
"2498","Indus","3","3","1","0"
"2499","Electrique","1","0","2","2"
"2500","Indus","3","5","3","0"
"2501","Civil","3","3","1","1"
"2502","Civil","3","1","1","0"
"2503","Electrique","2","1","1","2"
"2504","Info","1","1","2","1"
"2505","Info","2","4","2","2"
"2506","Info","1","1","1","1"
"2507","Electrique","1","2","2","0"
"2508","Info","3","3","2","1"
"2509","Civil","3","3","0","0"
"2510","Electrique","2","0","0","1"
"2511","Info","2","1","0","1"
"2512","Electrique","2","1","3","0"
"2513","Info","2","5","3","1"
