"cne","filiere","niveau","noteStage1","lieuxStage1","noteStage2","lieuxStage2","noteStage3","lieuxStage3"
"2727","Electrique","1","11","Nador","19","Oujda","11","Tanger"
"2728","Civil","1","18","Agadir","18","Fes","19","Tetouan"
"2729","Indus","1","9","Agadir","12","Tanger","20","Fes"
"2730","Finance","1","12","Marrakech","17","Marrakech","20","Tetouan"
"2731","Civil","3","20","Agadir","16","Nador","17","Nador"
"2732","Indus","2","13","Tetouan","18","Agadir","15","Casablanca"
"2733","Electrique","1","10","Tanger","17","Nador","16","Oujda"
"2734","Indus","3","11","Casablanca","16","Tanger","17","Agadir"
"2735","Finance","2","18","Fes","18","Fes","9","Marrakech"
"2736","Civil","3","13","Marrakech","20","Casablanca","19","Tanger"
"2737","Electrique","2","10","Tetouan","18","Marrakech","19","Agadir"
"2738","Indus","1","17","Rabat","17","Tetouan","17","Tetouan"
"2739","Info","1","10","Fes","20","Nador","13","Agadir"
"2740","Electrique","1","19","Agadir","14","Rabat","20","Tetouan"
"2741","Finance","3","9","Nador","18","Fes","11","Casablanca"
"2742","Electrique","1","13","Agadir","19","Agadir","17","Nador"
"2743","Civil","2","9","Casablanca","11","Casablanca","17","Tetouan"
"2744","Indus","2","13","Tetouan","19","Nador","19","Oujda"
"2745","Electrique","1","10","Fes","16","Fes","20","Oujda"
"2746","Finance","3","19","Rabat","10","Agadir","12","Oujda"
"2747","Info","1","15","Tetouan","16","Fes","13","Tetouan"
"2748","Civil","1","15","Tetouan","17","Fes","14","Oujda"
"2749","Info","2","15","Casablanca","9","Nador","18","Tanger"
"2750","Indus","3","9","Fes","10","Rabat","15","Nador"
"2751","Electrique","1","15","Rabat","15","Agadir","17","Marrakech"
"2752","Indus","2","9","Tanger","17","Rabat","20","Rabat"
"2753","Finance","2","20","Nador","14","Tetouan","12","Nador"
"2754","Indus","3","10","Marrakech","18","Rabat","12","Tanger"
"2755","Electrique","2","15","Tetouan","20","Rabat","17","Tetouan"
"2756","Indus","2","15","Rabat","11","Nador","14","Fes"
"2757","Indus","1","19","Casablanca","20","Rabat","16","Agadir"
"2758","Indus","2","15","Agadir","18","Agadir","16","Agadir"
"2759","Civil","1","15","Oujda","14","Tetouan","19","Casablanca"
"2760","Info","2","15","Agadir","15","Nador","19","Oujda"
"2761","Finance","2","15","Agadir","19","Rabat","17","Tanger"
"2762","Civil","2","13","Tanger","17","Rabat","18","Agadir"
"2763","Electrique","2","10","Nador","15","Tanger","11","Rabat"
"2764","Info","1","16","Rabat","18","Nador","9","Nador"
"2765","Indus","1","15","Fes","19","Tetouan","19","Rabat"
"2766","Indus","1","18","Rabat","16","Agadir","10","Oujda"
"2767","Civil","3","19","Tanger","17","Nador","15","Tanger"
"2768","Civil","1","10","Rabat","9","Marrakech","13","Rabat"
"2769","Electrique","2","11","Nador","12","Oujda","20","Marrakech"
"2770","Finance","3","16","Nador","14","Tanger","20","Oujda"
"2771","Finance","1","20","Rabat","14","Fes","19","Fes"
"2772","Civil","2","16","Casablanca","15","Casablanca","12","Oujda"
"2773","Electrique","3","14","Casablanca","12","Tetouan","17","Casablanca"
"2774","Civil","3","16","Tetouan","17","Fes","17","Casablanca"
"2775","Finance","2","20","Agadir","11","Tanger","16","Oujda"
"2776","Civil","2","14","Casablanca","19","Agadir","10","Agadir"
"2777","Finance","2","10","Tanger","10","Rabat","17","Tanger"
"2778","Info","1","11","Tetouan","18","Oujda","12","Rabat"
"2779","Electrique","2","20","Nador","15","Casablanca","18","Nador"
"2780","Civil","3","14","Rabat","11","Nador","11","Oujda"
"2781","Info","1","20","Tetouan","19","Rabat","19","Casablanca"
"2782","Indus","2","13","Marrakech","10","Nador","11","Tetouan"
"2783","Civil","1","18","Tanger","12","Casablanca","17","Oujda"
"2784","Info","3","13","Nador","18","Fes","14","Marrakech"
"2785","Electrique","1","12","Oujda","11","Casablanca","20","Rabat"
"2786","Indus","2","12","Casablanca","12","Casablanca","10","Fes"
"2787","Electrique","2","12","Agadir","18","Tanger","13","Agadir"
"2788","Indus","2","15","Rabat","17","Fes","9","Nador"
"2789","Info","3","18","Oujda","13","Agadir","19","Marrakech"
"2790","Electrique","3","19","Fes","14","Fes","20","Casablanca"
"2791","Electrique","3","9","Fes","17","Agadir","18","Marrakech"
"2792","Finance","2","15","Oujda","16","Tetouan","10","Rabat"
"2793","Indus","1","9","Nador","10","Fes","9","Oujda"
"2794","Electrique","2","14","Fes","15","Oujda","11","Oujda"
"2795","Finance","3","16","Oujda","19","Agadir","9","Marrakech"
"2796","Indus","2","17","Tetouan","14","Tetouan","13","Casablanca"
"2797","Electrique","1","10","Rabat","17","Casablanca","9","Rabat"
"2798","Finance","3","19","Marrakech","18","Fes","19","Agadir"
"2799","Finance","1","18","Nador","9","Marrakech","19","Fes"
"2800","Civil","3","11","Casablanca","12","Casablanca","9","Tetouan"
"2801","Indus","3","10","Tetouan","15","Tetouan","15","Marrakech"
"2802","Info","2","15","Tetouan","13","Tetouan","11","Tanger"
"2803","Finance","1","19","Agadir","20","Nador","10","Casablanca"
"2804","Electrique","2","11","Casablanca","13","Rabat","18","Rabat"
"2805","Electrique","3","17","Agadir","12","Marrakech","17","Fes"
"2806","Civil","2","9","Agadir","12","Tetouan","11","Marrakech"
"2807","Electrique","2","17","Fes","11","Nador","14","Oujda"
"2808","Civil","1","12","Fes","15","Marrakech","20","Marrakech"
"2809","Civil","1","12","Fes","11","Casablanca","20","Fes"
"2810","Indus","1","16","Rabat","10","Tetouan","18","Rabat"
"2811","Info","3","9","Agadir","9","Agadir","9","Oujda"
"2812","Electrique","3","20","Marrakech","10","Agadir","17","Casablanca"
"2813","Indus","2","15","Marrakech","16","Tetouan","12","Fes"
"2814","Info","1","12","Casablanca","18","Casablanca","14","Casablanca"
"2815","Electrique","3","16","Tanger","13","Casablanca","16","Oujda"
"2816","Indus","1","12","Rabat","13","Marrakech","13","Casablanca"
"2817","Indus","2","10","Casablanca","16","Marrakech","18","Agadir"
"2818","Indus","1","16","Marrakech","17","Fes","9","Oujda"
"2819","Civil","3","16","Rabat","13","Rabat","18","Tetouan"
"2820","Civil","2","20","Rabat","12","Nador","12","Agadir"
"2821","Finance","3","14","Casablanca","14","Marrakech","17","Tetouan"
"2822","Electrique","1","16","Tetouan","14","Agadir","11","Casablanca"
"2823","Indus","3","11","Nador","12","Nador","9","Oujda"
"2824","Finance","2","12","Rabat","19","Fes","12","Agadir"
"2825","Indus","3","9","Casablanca","16","Tetouan","11","Marrakech"
"2826","Civil","2","13","Tetouan","20","Marrakech","19","Tanger"
"2827","Electrique","1","11","Marrakech","13","Rabat","13","Casablanca"
"2828","Electrique","2","14","Marrakech","11","Tetouan","15","Nador"
"2829","Civil","1","11","Nador","11","Tanger","18","Casablanca"
"2830","Civil","3","19","Agadir","12","Nador","19","Tetouan"
"2831","Civil","2","20","Tetouan","10","Agadir","13","Fes"
"2832","Finance","3","17","Tetouan","12","Casablanca","9","Nador"
"2833","Civil","3","12","Oujda","14","Agadir","14","Nador"
"2834","Indus","1","10","Tanger","9","Casablanca","17","Tanger"
"2835","Indus","1","16","Oujda","14","Casablanca","15","Oujda"
"2836","Info","1","16","Agadir","18","Marrakech","16","Marrakech"
"2837","Civil","2","10","Rabat","15","Tanger","16","Oujda"
"2838","Civil","3","14","Oujda","16","Oujda","19","Casablanca"
"2839","Info","3","14","Fes","20","Nador","14","Agadir"
"2840","Civil","2","19","Agadir","15","Fes","9","Tanger"
"2841","Indus","2","19","Tetouan","12","Fes","18","Agadir"
"2842","Indus","2","14","Tetouan","11","Fes","14","Agadir"
"2843","Finance","3","12","Rabat","13","Marrakech","15","Casablanca"
"2844","Indus","2","12","Marrakech","16","Fes","13","Fes"
"2845","Electrique","1","15","Tanger","20","Nador","16","Tetouan"
"2846","Info","3","11","Casablanca","17","Nador","11","Rabat"
"2847","Info","2","15","Marrakech","17","Rabat","9","Marrakech"
"2848","Indus","1","20","Casablanca","13","Tanger","13","Tanger"
"2849","Indus","1","18","Tanger","16","Tetouan","20","Tanger"
"2850","Finance","3","17","Fes","15","Tanger","14","Tanger"
"2851","Electrique","1","19","Nador","17","Oujda","9","Rabat"
"2852","Electrique","3","16","Marrakech","13","Tetouan","12","Tanger"
"2853","Indus","2","15","Tanger","12","Nador","15","Fes"
"2854","Indus","3","11","Tetouan","19","Tetouan","10","Fes"
"2855","Finance","2","9","Rabat","20","Rabat","16","Fes"
"2856","Info","3","14","Tetouan","19","Tetouan","17","Tanger"
"2857","Civil","1","16","Nador","10","Fes","10","Rabat"
"2858","Electrique","1","16","Casablanca","11","Agadir","13","Tetouan"
"2859","Info","1","18","Oujda","18","Tetouan","14","Tetouan"
"2860","Info","1","16","Tanger","19","Tetouan","13","Rabat"
"2861","Info","1","15","Rabat","15","Nador","14","Oujda"
"2862","Info","2","10","Oujda","13","Tanger","10","Tetouan"
"2863","Info","2","19","Agadir","14","Tanger","14","Marrakech"
"2864","Finance","1","12","Oujda","14","Tetouan","19","Marrakech"
"2865","Civil","3","13","Oujda","12","Casablanca","17","Nador"
"2866","Finance","2","20","Oujda","18","Rabat","17","Rabat"
"2867","Finance","2","17","Agadir","18","Casablanca","18","Oujda"
"2868","Civil","1","16","Fes","16","Marrakech","17","Tanger"
"2869","Indus","2","10","Casablanca","12","Tanger","15","Oujda"
"2870","Finance","2","9","Tanger","12","Agadir","9","Casablanca"
"2871","Civil","1","16","Tetouan","20","Tetouan","19","Rabat"
"2872","Civil","1","15","Marrakech","19","Tanger","16","Tetouan"
"2873","Info","3","14","Oujda","11","Tetouan","19","Oujda"
"2874","Finance","3","12","Agadir","20","Fes","19","Rabat"
"2875","Indus","1","13","Agadir","20","Oujda","16","Casablanca"
"2876","Info","2","20","Tanger","14","Casablanca","12","Tetouan"
"2877","Civil","1","14","Tetouan","18","Marrakech","16","Tetouan"
"2878","Civil","2","19","Casablanca","13","Tetouan","19","Oujda"
"2879","Electrique","3","16","Tetouan","20","Oujda","15","Rabat"
"2880","Electrique","1","14","Fes","12","Tetouan","19","Casablanca"
"2881","Indus","1","14","Tanger","19","Rabat","14","Oujda"
"2882","Finance","2","17","Rabat","11","Agadir","19","Marrakech"
"2883","Civil","2","14","Rabat","20","Fes","20","Tetouan"
"2884","Indus","2","20","Marrakech","16","Agadir","20","Casablanca"
"2885","Finance","1","9","Oujda","9","Nador","16","Nador"
"2886","Indus","3","16","Oujda","16","Rabat","19","Tanger"
"2887","Info","1","20","Agadir","13","Nador","12","Marrakech"
"2888","Finance","2","9","Marrakech","11","Tanger","17","Tanger"
"2889","Indus","3","12","Oujda","20","Agadir","20","Tanger"
"2890","Civil","2","17","Fes","10","Nador","18","Agadir"
"2891","Civil","3","18","Marrakech","9","Oujda","11","Agadir"
"2892","Civil","1","13","Nador","20","Casablanca","14","Tanger"
"2893","Civil","2","20","Tetouan","10","Tetouan","18","Marrakech"
"2894","Civil","1","11","Tanger","13","Oujda","11","Tanger"
"2895","Civil","3","12","Nador","17","Tetouan","20","Oujda"
"2896","Info","2","16","Oujda","12","Tetouan","19","Fes"
"2897","Electrique","1","20","Fes","17","Nador","13","Tanger"
"2898","Electrique","2","18","Fes","12","Marrakech","14","Casablanca"
"2899","Electrique","1","14","Fes","18","Casablanca","15","Agadir"
"2900","Info","1","12","Rabat","11","Tetouan","17","Tanger"
"2901","Indus","2","19","Tetouan","12","Tetouan","20","Casablanca"
"2902","Info","2","9","Agadir","20","Nador","17","Agadir"
"2903","Electrique","3","17","Rabat","16","Agadir","9","Marrakech"
"2904","Finance","1","15","Nador","14","Casablanca","12","Casablanca"
"2905","Indus","1","14","Casablanca","17","Fes","11","Marrakech"
"2906","Finance","2","18","Fes","13","Rabat","17","Rabat"
"2907","Finance","3","20","Marrakech","16","Casablanca","12","Oujda"
"2908","Civil","3","9","Tanger","11","Rabat","19","Agadir"
"2909","Indus","3","12","Tetouan","19","Agadir","16","Tanger"
"2910","Finance","2","17","Agadir","14","Oujda","9","Casablanca"
"2911","Electrique","1","13","Tetouan","17","Oujda","12","Marrakech"
"2912","Electrique","2","18","Fes","20","Oujda","18","Rabat"
"2913","Info","1","17","Casablanca","19","Nador","14","Tetouan"
"2914","Electrique","1","18","Tetouan","16","Marrakech","20","Rabat"
"2915","Indus","1","11","Marrakech","11","Nador","14","Rabat"
"2916","Civil","2","15","Nador","17","Marrakech","18","Agadir"
"2917","Electrique","2","20","Tetouan","9","Tanger","12","Marrakech"
"2918","Indus","2","10","Oujda","18","Agadir","10","Rabat"
"2919","Electrique","2","16","Tanger","14","Nador","9","Casablanca"
"2920","Electrique","1","17","Oujda","18","Tanger","12","Tanger"
"2921","Info","1","13","Rabat","16","Oujda","11","Casablanca"
"2922","Info","1","16","Nador","10","Oujda","13","Tanger"
"2923","Info","2","13","Fes","15","Agadir","13","Tanger"
"2924","Info","3","12","Oujda","15","Fes","12","Agadir"
"2925","Electrique","3","11","Casablanca","13","Oujda","16","Tanger"
"2926","Civil","2","9","Oujda","20","Agadir","19","Fes"
"2927","Info","1","11","Fes","16","Casablanca","16","Nador"
"2928","Info","2","15","Tetouan","13","Fes","15","Rabat"
"2929","Civil","2","13","Marrakech","10","Tetouan","20","Agadir"
"2930","Civil","2","17","Nador","11","Oujda","14","Nador"
"2931","Info","2","11","Tetouan","16","Fes","15","Tanger"
"2932","Electrique","3","19","Tanger","18","Marrakech","9","Tanger"
"2933","Electrique","3","19","Rabat","9","Tetouan","17","Fes"
"2934","Civil","1","13","Agadir","20","Fes","18","Marrakech"
"2935","Electrique","1","19","Oujda","20","Tetouan","12","Oujda"
"2936","Electrique","1","18","Agadir","20","Marrakech","9","Marrakech"
"2937","Indus","3","20","Agadir","10","Rabat","11","Agadir"
"2938","Info","2","13","Oujda","13","Nador","16","Agadir"
"2939","Info","2","12","Marrakech","10","Oujda","19","Rabat"
"2940","Finance","3","18","Nador","19","Agadir","18","Agadir"
"2941","Civil","2","10","Agadir","19","Tetouan","19","Oujda"
"2942","Civil","2","16","Fes","18","Agadir","18","Nador"
"2943","Info","1","13","Oujda","14","Agadir","10","Fes"
"2944","Finance","1","10","Agadir","20","Fes","11","Nador"
"2945","Electrique","3","17","Rabat","12","Oujda","17","Marrakech"
"2946","Electrique","2","14","Rabat","15","Rabat","14","Nador"
"2947","Civil","3","19","Agadir","15","Rabat","11","Marrakech"
"2948","Electrique","3","11","Tanger","18","Oujda","15","Agadir"
"2949","Finance","2","20","Fes","10","Agadir","18","Casablanca"
"2950","Info","2","13","Casablanca","14","Nador","11","Oujda"
"2951","Finance","2","13","Nador","20","Rabat","18","Fes"
"2952","Civil","3","20","Tetouan","11","Casablanca","16","Agadir"
"2953","Info","2","14","Casablanca","9","Nador","13","Agadir"
"2954","Finance","1","15","Agadir","9","Agadir","18","Fes"
"2955","Civil","1","11","Rabat","15","Tanger","18","Tanger"
"2956","Civil","3","9","Marrakech","17","Marrakech","13","Casablanca"
"2957","Indus","3","14","Marrakech","10","Tanger","9","Agadir"
"2958","Electrique","2","11","Agadir","9","Marrakech","19","Fes"
"2959","Finance","2","14","Tanger","20","Agadir","18","Tanger"
"2960","Electrique","1","13","Oujda","20","Marrakech","17","Tanger"
"2961","Finance","3","16","Marrakech","20","Nador","17","Marrakech"
"2962","Info","3","14","Oujda","18","Agadir","10","Oujda"
"2963","Indus","3","15","Marrakech","13","Tetouan","9","Nador"
"2964","Civil","1","20","Casablanca","9","Fes","19","Tanger"
"2965","Civil","1","18","Marrakech","13","Nador","18","Nador"
"2966","Civil","1","13","Oujda","12","Tanger","12","Oujda"
"2967","Finance","3","18","Oujda","19","Nador","10","Tetouan"
"2968","Indus","3","13","Oujda","20","Tanger","19","Marrakech"
"2969","Indus","1","15","Casablanca","15","Agadir","20","Nador"
"2970","Civil","2","19","Oujda","10","Rabat","18","Marrakech"
"2971","Info","3","9","Rabat","10","Tetouan","9","Oujda"
"2972","Finance","2","12","Agadir","13","Tetouan","12","Fes"
"2973","Info","2","12","Casablanca","14","Nador","12","Rabat"
"2974","Indus","3","12","Tetouan","19","Nador","12","Casablanca"
"2975","Civil","3","9","Oujda","11","Casablanca","14","Oujda"
"2976","Civil","3","15","Tanger","17","Agadir","11","Nador"
"2977","Finance","2","16","Rabat","11","Rabat","11","Rabat"
"2978","Civil","2","20","Nador","15","Tetouan","15","Agadir"
"2979","Indus","1","19","Nador","17","Casablanca","14","Oujda"
"2980","Electrique","2","9","Rabat","20","Casablanca","11","Tetouan"
"2981","Info","3","13","Oujda","12","Nador","10","Nador"
"2982","Info","2","12","Agadir","20","Agadir","12","Casablanca"
"2983","Finance","2","19","Tetouan","11","Fes","13","Casablanca"
"2984","Indus","2","12","Tetouan","10","Rabat","10","Casablanca"
"2985","Indus","2","11","Fes","13","Oujda","15","Oujda"
"2986","Civil","2","16","Tanger","16","Nador","18","Tanger"
"2987","Electrique","3","12","Agadir","11","Marrakech","12","Agadir"
"2988","Civil","2","20","Rabat","10","Tetouan","16","Oujda"
"2989","Electrique","2","17","Agadir","9","Tetouan","15","Marrakech"
"2990","Civil","1","9","Tanger","15","Casablanca","17","Fes"
"2991","Finance","2","19","Tetouan","9","Tetouan","16","Tetouan"
"2992","Electrique","3","14","Oujda","17","Casablanca","12","Tetouan"
"2993","Indus","2","20","Nador","12","Tetouan","18","Agadir"
"2994","Electrique","3","18","Fes","10","Tetouan","12","Tanger"
"2995","Electrique","2","19","Nador","17","Fes","10","Agadir"
"2996","Electrique","3","16","Nador","11","Marrakech","14","Agadir"
"2997","Indus","1","19","Marrakech","12","Tetouan","16","Marrakech"
"2998","Civil","2","18","Nador","16","Marrakech","12","Nador"
"2999","Electrique","1","9","Agadir","9","Rabat","15","Marrakech"
"3000","Civil","2","11","Oujda","10","Tanger","18","Oujda"
"3001","Electrique","1","16","Tetouan","12","Fes","14","Tanger"
"3002","Info","1","13","Fes","15","Agadir","17","Fes"
"3003","Finance","3","13","Tanger","19","Tanger","12","Casablanca"
"3004","Finance","2","9","Rabat","19","Tetouan","12","Agadir"
"3005","Finance","2","10","Agadir","15","Casablanca","10","Rabat"
"3006","Indus","3","19","Agadir","16","Fes","20","Tetouan"
"3007","Electrique","3","14","Rabat","14","Rabat","20","Nador"
"3008","Finance","1","11","Fes","17","Fes","17","Casablanca"
"3009","Info","1","12","Rabat","18","Rabat","13","Tanger"
"3010","Civil","3","18","Oujda","9","Fes","18","Casablanca"
"3011","Info","1","20","Agadir","16","Nador","20","Agadir"
"3012","Electrique","2","18","Marrakech","15","Fes","16","Tanger"
"3013","Civil","3","19","Nador","9","Agadir","10","Oujda"
"3014","Civil","2","15","Tanger","20","Casablanca","17","Nador"
"3015","Info","3","9","Fes","19","Casablanca","9","Oujda"
"3016","Finance","2","15","Oujda","17","Marrakech","14","Marrakech"
"3017","Civil","3","19","Tanger","9","Marrakech","11","Oujda"
"3018","Indus","2","12","Marrakech","11","Nador","9","Agadir"
"3019","Electrique","3","19","Rabat","15","Marrakech","15","Fes"
"3020","Civil","3","17","Tetouan","13","Fes","17","Tetouan"
"3021","Finance","2","19","Casablanca","16","Casablanca","12","Tanger"
"3022","Info","1","19","Tanger","18","Agadir","10","Tetouan"
"3023","Civil","3","14","Tanger","11","Tanger","14","Agadir"
"3024","Finance","2","15","Fes","14","Fes","13","Tetouan"
"3025","Finance","1","16","Nador","13","Casablanca","12","Rabat"
"3026","Info","2","12","Fes","11","Tetouan","12","Tanger"
"3027","Indus","1","19","Tanger","17","Tanger","16","Casablanca"
"3028","Civil","1","19","Marrakech","17","Marrakech","13","Fes"
"3029","Civil","3","16","Tetouan","10","Casablanca","9","Tanger"
"3030","Electrique","3","15","Tetouan","15","Agadir","19","Tetouan"
"3031","Info","3","15","Marrakech","17","Rabat","12","Rabat"
"3032","Electrique","1","10","Tetouan","11","Nador","14","Tetouan"
"3033","Finance","2","20","Tanger","10","Nador","14","Nador"
"3034","Civil","3","13","Nador","20","Fes","11","Tetouan"
"3035","Civil","1","11","Nador","18","Marrakech","16","Tetouan"
"3036","Electrique","2","9","Marrakech","9","Tanger","20","Agadir"
"3037","Finance","2","14","Rabat","9","Oujda","13","Casablanca"
"3038","Indus","3","10","Tanger","11","Agadir","9","Marrakech"
"3039","Civil","3","16","Fes","18","Marrakech","19","Casablanca"
"3040","Civil","3","20","Oujda","13","Agadir","10","Marrakech"
"3041","Finance","2","17","Oujda","13","Fes","17","Oujda"
"3042","Electrique","3","12","Fes","11","Fes","18","Marrakech"
"3043","Electrique","3","19","Tanger","19","Tetouan","16","Nador"
"3044","Civil","3","18","Fes","11","Oujda","11","Nador"
"3045","Info","1","15","Tetouan","17","Nador","16","Tanger"
"3046","Civil","3","17","Nador","19","Casablanca","18","Agadir"
"3047","Info","3","17","Rabat","18","Tanger","10","Fes"
"3048","Info","3","16","Oujda","14","Marrakech","15","Casablanca"
"3049","Indus","3","13","Tetouan","11","Nador","10","Tetouan"
"3050","Indus","3","15","Agadir","20","Oujda","16","Agadir"
"3051","Civil","3","16","Marrakech","17","Nador","12","Fes"
"3052","Finance","2","19","Agadir","18","Tetouan","20","Agadir"
"3053","Electrique","2","12","Casablanca","11","Nador","11","Casablanca"
"3054","Indus","1","18","Agadir","14","Casablanca","17","Oujda"
"3055","Civil","2","18","Oujda","10","Oujda","19","Tanger"
"3056","Electrique","3","13","Agadir","13","Tetouan","13","Rabat"
"3057","Civil","2","14","Nador","19","Tanger","15","Tetouan"
"3058","Electrique","3","13","Agadir","16","Tetouan","10","Oujda"
"3059","Indus","1","16","Casablanca","11","Rabat","20","Nador"
"3060","Civil","2","17","Casablanca","17","Oujda","16","Tanger"
"3061","Civil","2","16","Rabat","12","Tanger","12","Rabat"
"3062","Civil","3","16","Fes","16","Nador","13","Rabat"
"3063","Civil","1","16","Marrakech","12","Casablanca","12","Agadir"
"3064","Indus","1","9","Agadir","13","Marrakech","14","Casablanca"
"3065","Info","3","11","Nador","12","Tanger","18","Tetouan"
"3066","Indus","3","10","Casablanca","19","Fes","20","Agadir"
"3067","Finance","3","18","Tetouan","18","Oujda","20","Agadir"
"3068","Civil","1","18","Nador","9","Casablanca","15","Agadir"
"3069","Info","3","17","Nador","13","Marrakech","11","Oujda"
"3070","Info","3","14","Rabat","16","Agadir","16","Oujda"
"3071","Indus","3","14","Rabat","12","Nador","12","Tetouan"
"3072","Info","2","19","Tanger","13","Marrakech","18","Casablanca"
"3073","Civil","1","15","Nador","15","Nador","20","Marrakech"
"3074","Indus","2","10","Fes","18","Tanger","14","Agadir"
"3075","Civil","2","13","Agadir","15","Tanger","15","Tanger"
"3076","Info","1","15","Tetouan","14","Casablanca","18","Rabat"
"3077","Civil","1","20","Nador","20","Marrakech","15","Nador"
"3078","Indus","3","17","Oujda","9","Oujda","16","Nador"
"3079","Civil","2","10","Tanger","18","Oujda","15","Tetouan"
"3080","Info","2","14","Fes","14","Fes","14","Agadir"
"3081","Civil","2","16","Rabat","20","Nador","18","Casablanca"
"3082","Indus","2","18","Agadir","18","Tetouan","9","Casablanca"
"3083","Indus","1","14","Agadir","11","Fes","18","Tetouan"
"3084","Finance","2","12","Nador","17","Tanger","18","Casablanca"
"3085","Finance","2","16","Agadir","19","Nador","17","Tetouan"
"3086","Indus","2","18","Agadir","18","Tanger","18","Agadir"
"3087","Info","3","20","Rabat","15","Fes","20","Oujda"
"3088","Electrique","1","15","Fes","11","Tetouan","20","Oujda"
"3089","Finance","2","20","Agadir","16","Agadir","17","Tanger"
"3090","Civil","1","10","Tanger","12","Marrakech","19","Oujda"
"3091","Finance","1","15","Agadir","10","Oujda","9","Agadir"
"3092","Electrique","3","19","Tanger","18","Fes","9","Rabat"
"3093","Finance","3","9","Oujda","20","Marrakech","12","Tetouan"
"3094","Indus","1","13","Agadir","10","Rabat","18","Oujda"
"3095","Finance","1","13","Casablanca","20","Tanger","16","Agadir"
"3096","Electrique","1","15","Fes","10","Oujda","12","Casablanca"
"3097","Indus","2","18","Agadir","15","Fes","17","Rabat"
"3098","Info","1","13","Rabat","12","Agadir","15","Tetouan"
"3099","Finance","3","20","Marrakech","17","Marrakech","18","Tetouan"
"3100","Electrique","1","9","Fes","14","Marrakech","14","Tetouan"
"3101","Indus","3","15","Oujda","10","Tetouan","11","Casablanca"
"3102","Civil","3","19","Rabat","19","Tanger","15","Marrakech"
"3103","Electrique","2","9","Fes","11","Marrakech","12","Fes"
"3104","Indus","1","18","Rabat","16","Casablanca","16","Fes"
"3105","Electrique","2","13","Casablanca","19","Oujda","13","Marrakech"
"3106","Civil","3","9","Agadir","19","Tanger","18","Marrakech"
"3107","Indus","1","13","Fes","13","Oujda","14","Tanger"
"3108","Civil","1","20","Casablanca","14","Tetouan","19","Nador"
"3109","Civil","3","15","Oujda","18","Casablanca","19","Casablanca"
"3110","Electrique","2","19","Marrakech","13","Nador","12","Rabat"
"3111","Finance","1","19","Nador","9","Tanger","11","Tetouan"
"3112","Finance","2","9","Casablanca","19","Oujda","19","Casablanca"
"3113","Finance","3","13","Tanger","11","Tetouan","15","Oujda"
"3114","Finance","3","10","Marrakech","10","Tanger","11","Tetouan"
"3115","Civil","1","16","Tanger","16","Fes","18","Nador"
"3116","Finance","3","11","Oujda","15","Rabat","11","Agadir"
"3117","Civil","1","14","Tetouan","12","Oujda","20","Marrakech"
"3118","Electrique","3","20","Agadir","14","Tetouan","12","Nador"
"3119","Indus","3","11","Rabat","15","Marrakech","14","Nador"
"3120","Finance","1","13","Tanger","20","Rabat","19","Fes"
"3121","Indus","2","20","Tetouan","17","Tetouan","13","Marrakech"
"3122","Indus","3","12","Tetouan","11","Tanger","16","Nador"
"3123","Electrique","2","17","Tanger","18","Marrakech","19","Marrakech"
"3124","Electrique","3","14","Fes","20","Nador","13","Casablanca"
"3125","Civil","1","18","Agadir","14","Oujda","13","Agadir"
"3126","Indus","1","19","Oujda","16","Tanger","18","Tanger"
"3127","Info","2","20","Tanger","17","Agadir","13","Fes"
"3128","Info","2","17","Nador","20","Tetouan","12","Agadir"
"3129","Civil","3","14","Oujda","17","Rabat","12","Fes"
"3130","Civil","2","19","Casablanca","10","Nador","18","Rabat"
"3131","Finance","3","17","Tetouan","11","Fes","14","Oujda"
"3132","Info","2","15","Nador","14","Rabat","20","Oujda"
"3133","Finance","2","12","Fes","17","Rabat","11","Nador"
"3134","Civil","2","10","Casablanca","12","Tanger","17","Rabat"
"3135","Indus","3","17","Fes","9","Tetouan","17","Agadir"
"3136","Indus","2","20","Marrakech","12","Oujda","16","Fes"
"3137","Electrique","3","18","Nador","17","Oujda","12","Agadir"
"3138","Civil","2","20","Tanger","19","Tetouan","17","Marrakech"
"3139","Indus","2","19","Fes","9","Nador","15","Agadir"
"3140","Indus","3","9","Tanger","11","Nador","13","Casablanca"
"3141","Info","3","19","Agadir","11","Casablanca","18","Fes"
"3142","Civil","1","10","Marrakech","10","Rabat","10","Agadir"
"3143","Electrique","3","19","Oujda","9","Tanger","9","Rabat"
"3144","Finance","1","9","Agadir","10","Tanger","17","Oujda"
"3145","Civil","3","9","Oujda","19","Fes","13","Marrakech"
"3146","Civil","2","17","Rabat","10","Rabat","11","Casablanca"
"3147","Finance","1","13","Agadir","16","Fes","13","Casablanca"
"3148","Finance","3","13","Agadir","15","Tanger","9","Oujda"
"3149","Electrique","2","19","Agadir","12","Casablanca","16","Fes"
"3150","Electrique","3","14","Tetouan","19","Oujda","9","Tanger"
"3151","Electrique","3","20","Tanger","13","Tanger","17","Agadir"
"3152","Electrique","3","14","Nador","17","Tetouan","20","Nador"
"3153","Electrique","3","15","Casablanca","15","Marrakech","20","Nador"
"3154","Civil","1","19","Casablanca","19","Tanger","16","Tetouan"
"3155","Electrique","2","9","Marrakech","18","Casablanca","11","Nador"
"3156","Finance","2","15","Fes","19","Fes","18","Tanger"
